Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Samoa,Western Pacific,14906,7512.575,94,47.376,0,29,14.616,1,0.504,0
Dominica,Americas,14852,20630.357,31,43.061,0,68,94.456,1,1.389,0
Nicaragua,Americas,14690,221.751,71,1.072,0,242,3.653,1,0.015,0
Central African Republic,Africa,14371,297.551,0,0,0,113,2.34,0,0,0
Monaco,Europe,13006,33141.372,260,662.522,61,58,147.793,1,2.548,0
Tonga,Western Pacific,12301,11638.204,222,210.038,0,12,11.353,0,0,0
Gambia,Africa,12002,496.634,0,0,0,365,15.103,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11824,39.643,0,0,0,2149,7.205,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,11759,20430.182,190,330.108,0,35,60.809,1,1.737,0
Vanuatu,Western Pacific,11266,3667.974,227,73.906,0,14,4.558,0,0,0
Saint Martin,Americas,10952,28329.755,77,199.177,0,45,116.402,0,0,0
Sint Maarten,Americas,10580,24672.357,72,167.903,0,86,200.55,0,0,0
Eritrea,Africa,9788,275.997,4,0.113,0,103,2.904,0,0,0
Saint Vincent and the Grenadines,Americas,9051,8158.464,43,38.76,6,112,100.955,1,0.901,1
Niger,Africa,9031,37.308,0,0,0,310,1.281,0,0,0
Bonaire,Americas,8810,42122.878,71,339.469,0,30,143.438,0,0,0
Antigua and Barbuda,Americas,8625,8807.401,35,35.74,0,141,143.982,0,0,0
Guinea-Bissau,Africa,8348,424.187,0,0,0,171,8.689,0,0,0
Comoros,Africa,8139,935.946,2,0.23,0,160,18.399,0,0,0
Sierra Leone,Africa,7694,96.453,1,0.013,0,125,1.567,0,0,0
Liberia,Africa,7497,148.23,0,0,0,294,5.813,0,0,0
Chad,Africa,7425,45.203,1,0.006,0,193,1.175,0,0,0
British Virgin Islands,Americas,6941,22955.32,0,0,0,63,208.354,0,0,0
American Samoa,Western Pacific,6414,11620.197,0,0,0,31,56.162,0,0,0
Turks and Caicos Islands,Americas,6219,16062.297,8,20.662,8,36,92.98,0,0,0
Sao Tome and Principe,Africa,6043,2757.359,20,9.126,0,73,33.309,0,0,0
Saint Kitts and Nevis,Americas,6022,11321.251,90,169.198,30,43,80.839,0,0,0
Cook Islands,Western Pacific,5774,32874.061,12,68.322,0,1,5.693,0,0,0
Palau,Western Pacific,5220,28852.532,27,149.237,0,6,33.164,0,0,0
Saint Barthélemy,Americas,4697,47516.439,26,263.025,0,4,40.465,0,0,0
Anguilla,Americas,3456,23036.928,45,299.96,0,9,59.992,0,0,0
Kiribati,Western Pacific,3236,2709.106,21,17.581,0,13,10.883,0,0,0
Nauru,Western Pacific,3174,29296.659,2300,21229.463,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,2767,47748.059,0,0,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1815,52110.25,59,1693.942,8,0,0,0,0,0
Montserrat,Americas,1018,20364.073,2,40.008,2,8,160.032,0,0,0
Sint Eustatius,Americas,973,30997.133,13,414.145,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,622,32177.962,1,51.733,0,2,103.466,0,0,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Micronesia (Federated States of),Western Pacific,38,33.037,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,18,30.408,0,0,0,0,0,0,0,0
Niue,Western Pacific,15,927.07,5,309.023,0,0,0,0,0,0
Tuvalu,Western Pacific,3,25.441,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
